SLDV,88,勞訴,3,20000530
KSDV,89,勞訴,55,20010416,1
KSDV,89,勞訴,55,20010424,1
TPDV,100,勞訴,65,20120319,1
PCDV,101,勞訴,54,20130124,1
TPDV,100,重勞訴,12,20120928,1
TCDV,101,勞訴,107,20130121,2
KSDV,100,勞訴,74,20120330,1
KSDV,101,勞訴,23,20130219,2
MLDV,104,勞訴,7,20150610,1
TCDV,103,勞訴,85,20141124,1
MLDV,102,勞訴,14,20141008,2
KSDV,103,勞訴,124,20150217,1
TCDV,95,勞訴,27,20061208,2
KLDV,95,勞訴,6,20060707,1
SLDV,95,勞訴,21,20070713,2
TPDV,96,勞訴,18,20070511,1
CYDV,95,勞訴,16,20070726,2
CYDV,94,勞訴,3,20060621,2
TPDV,100,勞訴,231,20120113,1
TPDV,109,勞訴,18,20201127,1
KSDV,101,勞訴,8,20120327,1
PCDV,91,重勞訴,1,20031127,1
TCDV,109,勞訴,103,20210611,2
TPDV,110,勞訴,242,20211028,1
CYDV,110,勞訴,18,20210917,1
KSDV,110,勞訴,17,20210909,2
CYDV,110,勞訴,19,20210917,1
CTDV,110,勞訴,179,20211124,1
CYDV,110,勞訴,23,20210930,1
CTDV,110,勞訴,185,20211203,1
CTDV,110,勞訴,173,20211130,1
CTDV,110,勞訴,174,20211220,1
CTDV,110,勞訴,170,20211123,1
CTDV,110,勞訴,168,20211216,1
CTDV,110,勞訴,169,20211216,1
CTDV,110,勞訴,198,20211224,1
CYDV,109,勞訴,9,20210201,2
CTDV,110,勞訴,158,20211206,1
CTDV,110,勞訴,177,20211229,1
CTDV,110,勞訴,167,20211220,1
CTDV,110,勞訴,201,20211228,1
CTDV,110,勞訴,188,20211227,1
CTDV,110,勞訴,197,20211224,1
CTDV,110,勞訴,207,20211228,1
CTDV,110,勞訴,202,20211228,1
CTDV,110,勞訴,212,20220107,1
CTDV,110,勞訴,211,20220107,1
CTDV,110,勞訴,206,20211228,1
CTDV,111,勞訴,5,20220114,1
CTDV,110,勞訴,214,20220107,1
CTDV,110,勞訴,166,20211220,1
CTDV,110,勞訴,194,20220120,1
CTDV,110,勞訴,165,20211220,1
CTDV,110,勞訴,213,20220107,1
CTDV,110,勞訴,182,20220103,1
CTDV,110,勞訴,196,20220120,1
KSDV,110,勞訴,152,20211124,1
PTDV,110,勞訴,56,20211229,1
KSDV,110,勞訴,168,20211124,1
KSDV,95,重勞訴,4,20080205,1
SLDV,96,重勞訴,5,20080328,1
HLHV,97,上,51,20090117,1
HLDV,96,訴,64,20080918,2
KSDV,97,勞訴,74,20081031,1
NTDV,92,訴,8,20030626,2
TPDV,94,勞訴,52,20050524,1
TPDV,93,勞訴,163,20050425,1
TCDV,93,勞訴,71,20050114,1
TPDV,106,勞訴,183,20180827,2
PCDV,108,勞訴,13,20190326,1
TCDV,107,勞訴,6,20190110,1
CHDV,105,勞訴,36,20170922,2
CTDV,108,勞訴,40,20190726,1
TTDV,107,勞訴,4,20190213,2
CTDV,108,勞訴,46,20190731,1
CTDV,108,勞訴,34,20190725,1
CTDV,108,勞訴,41,20190731,1
CTDV,108,勞訴,59,20190919,1
SLDV,107,勞訴,116,20191220,2
SLDV,109,重勞訴,3,20200911,1
CTDV,108,重勞訴,2,20200102,1
