TNHV,109,勞上,23,20210318,2
CYDV,109,勞訴,6,20200924,1
CYDV,109,勞訴,6,20201007,2
KSDV,109,勞訴,68,20201030,1
CTDV,109,勞訴,81,20200930,1
CTDV,109,勞訴,81,20201015,2
CTDV,109,勞訴,94,20201119,1
CTDV,109,勞訴,94,20201208,2
TPDV,111,勞訴,433,20221230,1
TPDV,111,勞訴,433,20230206,2
TPHV,112,勞上易,34,20230718,2
TPDV,111,勞訴,482,20221230,1
TPDV,112,勞訴,53,20230324,1
KSDV,109,勞訴,169,20220411,1
KSHV,111,勞上,30,20230410,1
KSDV,112,勞訴,30,20230412,1
TPDV,99,勞訴,150,20110519,1
TPDV,99,勞訴,150,20110919,2
TPDV,99,勞訴,172,20110311,1
SLDV,98,重勞訴,11,20091117,1
CYDV,99,勞訴,15,20110804,1
CYDV,99,勞訴,25,20110408,1
CYDV,99,勞訴,25,20110504,2
TNHV,100,勞上易,10,20110830,1
PTDV,99,勞訴,16,20110729,1
PTDV,99,勞訴,16,20110825,2
KSHV,100,勞上,27,20120321,3
TYDV,98,勞訴,91,20110407,2
TPHV,101,勞再易,6,20120419,1
TYDV,99,勞訴,65,20101130,1
TPDV,99,勞訴,89,20101029,1
TPDV,99,勞訴,56,20100505,1
TPDV,99,勞訴,56,20100604,2
TCDV,98,勞訴,180,20101115,1
TCDV,98,勞訴,180,20101208,2
CYDV,99,勞訴,7,20100614,2
CYDV,99,勞訴,7,20100614,1
TNHV,99,勞抗,2,20101103,1
TNHV,100,勞上更(一),3,20120928,1
TNHV,100,勞上更(一),3,20130108,3
TNHV,100,勞上更(一),3,20130716,4
TNHV,100,勞上更一,3,20130717,4
TPSV,103,台上,792,20140430
TNHV,103,勞上更(二),1,20150601,1
TPSV,105,台上,632,20160415
KSDV,99,勞訴,16,20100621,1
KSDV,99,勞訴,16,20101227,2
KSDV,99,勞訴,16,20110419,3
TYDV,113,勞訴,160,20250312,2
TYDV,113,勞訴,166,20250508,2
TPDV,113,勞訴,97,20240508,1
